16.875	10	11.717	0.843	5.158	6	19.713
16.875	11	40.662	0.780	23.787	6	18.678
16.875	12	70.475	0.724	53.600	4	17.022
16.875	13	NaN	1.500	NaN	2	NaN
16.875	14	37.966	1.014	21.091	3	18.828
16.875	15	44.986	0.815	28.111	5	18.438
174.375	1	79.228	1.183	95.147	4	14.714
174.375	2	NaN	1.500	NaN	3	NaN
174.375	3	164.086	0.857	10.289	5	19.428
174.375	4	180.000	0.873	10.600	6	19.411
174.375	5	NaN	1.500	NaN	2	NaN
174.375	6	180.000	0.834	13.085	6	19.273
174.375	7	176.059	0.891	1.684	2	19.906
174.375	8	NaN	1.500	NaN	5	NaN
174.375	9	180.000	0.789	6.190	4	19.656
174.375	10	164.738	0.750	9.637	3	19.465
174.375	11	NaN	1.500	NaN	3	NaN
174.375	12	NaN	1.500	NaN	2	NaN
174.375	13	169.575	0.849	4.800	4	19.733
174.375	14	180.000	0.826	17.473	6	19.029
174.375	15	170.677	0.747	3.698	5	19.795
84.375	1	NaN	1.500	NaN	3	NaN
84.375	2	90.067	0.724	5.692	2	19.684
84.375	3	105.772	0.877	21.397	6	18.811
84.375	4	107.234	0.782	22.859	4	18.730
84.375	5	100.534	0.767	16.159	5	19.102
84.375	6	75.109	0.960	9.266	2	19.485
84.375	7	88.785	0.857	4.410	5	19.755
84.375	8	115.754	0.769	31.379	4	18.257
84.375	9	97.397	0.770	13.022	6	19.277
84.375	10	NaN	1.500	NaN	3	NaN
84.375	11	120.588	0.964	36.213	2	17.988
84.375	12	101.019	0.781	16.644	3	19.075
84.375	13	106.169	0.766	21.794	6	18.789
84.375	14	NaN	1.500	NaN	5	NaN
84.375	15	114.553	0.712	30.178	4	18.323
140.625	1	84.826	0.659	55.799	5	16.900
140.625	2	26.843	0.740	113.782	6	13.679
140.625	3	161.435	0.941	20.810	3	18.844
140.625	4	NaN	1.500	NaN	2	NaN
140.625	5	144.776	1.046	4.151	4	19.769
140.625	6	138.243	0.687	2.382	4	19.868
140.625	7	153.241	0.816	12.616	6	19.299
140.625	8	138.566	0.777	2.059	3	19.886
140.625	9	115.233	0.794	25.392	2	18.589
140.625	10	140.721	0.747	0.096	5	19.995
140.625	11	173.108	0.899	32.483	4	18.195
