151.875	13	137.949	0.758	13.926	4	19.226
151.875	14	173.356	0.783	21.481	3	18.807
151.875	15	159.682	0.736	7.807	6	19.566
84.375	1	NaN	1.500	NaN	3	NaN
84.375	2	54.830	0.954	29.545	6	18.359
84.375	3	21.036	1.011	63.339	4	16.481
84.375	4	101.453	0.603	17.078	2	19.051
84.375	5	82.100	0.844	2.275	5	19.874
84.375	6	131.664	0.693	47.289	4	17.373
84.375	7	179.489	0.830	95.114	5	14.716
84.375	8	71.908	0.655	12.467	3	19.307
84.375	9	68.948	0.672	15.427	2	19.143
84.375	10	110.650	0.785	26.275	6	18.540
84.375	11	93.897	0.626	9.522	3	19.471
84.375	12	80.272	1.019	4.103	2	19.772
84.375	13	76.025	0.676	8.350	5	19.536
84.375	14	115.071	0.676	30.696	4	18.295
84.375	15	86.693	0.565	2.318	6	19.871
73.125	1	NaN	1.500	NaN	6	NaN
73.125	2	44.215	1.014	28.910	5	18.394
73.125	3	13.318	0.687	59.807	2	16.677
73.125	4	84.170	0.712	11.045	3	19.386
73.125	5	126.859	0.785	53.734	4	17.015
73.125	6	168.996	0.546	95.871	4	14.674
73.125	7	82.170	0.850	9.045	6	19.497
73.125	8	131.381	0.715	58.256	3	16.764
73.125	9	62.800	0.812	10.325	2	19.426
73.125	10	55.561	1.365	17.564	5	19.024
73.125	11	44.295	0.614	28.830	6	18.398
73.125	12	55.933	0.599	17.192	2	19.045
73.125	13	71.077	0.792	2.048	3	19.886
73.125	14	76.579	0.553	3.454	4	19.808
73.125	15	76.310	0.570	3.185	5	19.823
28.125	1	NaN	1.500	NaN	2	NaN
28.125	2	59.788	1.035	31.663	4	18.241
28.125	3	34.893	0.668	6.768	6	19.624
28.125	4	7.973	0.701	20.152	3	18.880
28.125	5	180.000	1.109	152.900	5	11.506
28.125	6	133.430	0.814	105.305	6	14.150
28.125	7	112.103	0.599	83.978	4	15.335
28.125	8	77.626	0.776	49.501	3	17.250
28.125	9	65.158	0.889	37.033	2	17.943
28.125	10	47.512	0.681	19.387	5	18.923
28.125	11	32.085	0.579	3.960	5	19.780
28.125	12	5.946	0.667	22.179	4	18.768
28.125	13	30.582	0.716	2.457	2	19.864
28.125	14	17.482	0.781	10.643	3	19.409
28.125	15	5.160	0.782	22.965	6	18.724
95.625	1	NaN	1.500	NaN	4	NaN
95.625	2	61.099	0.976	34.526	6	18.082
95.625	3	34.555	0.721	61.070	5	16.607
95.625	4	171.630	0.593	76.005	2	15.777
95.625	5	143.148	0.650	47.523	3	17.360
95.625	6	96.613	0.619	0.988	3	19.945
95.625	7	134.957	0.628	39.332	4	17.815
95.625	8	63.909	0.604	31.716	5	18.238
95.625	9	88.527	0.677	7.098	6	19.606
95.625	10	108.439	0.662	12.814	2	19.288
95.625	11	129.183	0.839	33.558	6	18.136
95.625	12	124.931	0.656	29.306	4	18.372
95.625	13	142.763	0.617	47.138	2	17.381
95.625	14	105.399	0.609	9.774	5	19.457
95.625	15	116.059	0.635	20.434	3	18.865
140.625	1	NaN	1.500	NaN	4	NaN
140.625	2	61.376	1.060	79.249	6	15.597
140.625	3	180.000	0.749	44.395	5	17.534
140.625	4	93.378	0.566	47.247	3	17.375
140.625	5	122.689	0.663	17.936	2	19.004
140.625	6	115.008	0.720	25.617	6	18.577
140.625	7	162.538	0.633	21.913	5	18.783
140.625	8	148.422	0.730	7.797	3	19.567
140.625	9	154.668	0.739	14.043	2	19.220
140.625	10	124.365	0.716	16.260	4	19.097
140.625	11	142.876	0.604	2.251	6	19.875
140.625	12	25.493	0.677	115.132	3	13.604
140.625	13	180.000	0.782	52.909	5	17.061
140.625	14	180.000	0.679	72.656	2	15.964
140.625	15	180.000	1.039	76.995	4	15.722
39.375	1	NaN	1.500	NaN	5	NaN
39.375	2	102.519	1.041	63.144	4	16.492
39.375	3	75.855	0.602	36.480	2	17.973
39.375	4	146.112	1.131	106.737	3	14.070
39.375	5	130.742	0.748	91.367	6	14.924
39.375	6	180.000	0.701	153.313	5	11.483
39.375	7	50.647	0.686	11.272	4	19.374
39.375	8	26.368	0.695	13.007	3	19.277
39.375	9	45.176	0.664	5.801	6	19.678
39.375	10	0.000	0.776	39.479	2	17.807
39.375	11	15.918	0.737	23.457	4	18.697
39.375	12	0.000	0.642	61.146	2	16.603
39.375	13	21.091	0.795	18.284	6	18.984
39.375	14	0.000	0.644	69.317	3	16.149
39.375	15	53.154	0.669	13.779	5	19.234
16.875	1	NaN	1.500	NaN	2	NaN
16.875	2	63.025	1.110	46.150	4	17.436
16.875	3	19.429	0.735	2.554	6	19.858
16.875	4	92.408	0.616	75.533	5	15.804
16.875	5	159.204	0.632	142.329	3	12.093
16.875	6	82.688	0.665	65.813	3	16.344
16.875	7	70.457	0.602	53.582	2	17.023
16.875	8	49.973	0.731	33.098	6	18.161
16.875	9	71.234	0.571	54.359	5	16.980
16.875	10	22.740	0.596	5.865	4	19.674
16.875	11	46.725	0.605	29.850	2	18.342
16.875	12	31.582	0.806	14.707	4	19.183
16.875	13	28.817	0.575	11.942	6	19.337
16.875	14	0.000	0.616	29.026	3	18.387
16.875	15	9.907	0.625	6.968	5	19.613
