subj,stage,region,n_voxels,accuracy
05,early_practice,BA20L,360,0.2951388888888889
05,early_practice,BA20R,359,0.2951388888888889
05,early_practice,BA37L,308,0.2986111111111111
05,early_practice,BA37R,302,0.31597222222222215
05,early_practice,BA38L,304,0.24305555555555558
05,early_practice,BA38R,302,0.2743055555555556
05,late_practice,BA17L,157,0.7013888888888888
05,late_practice,BA17R,151,0.6527777777777778
05,late_practice,BA18L,724,0.8263888888888888
05,late_practice,BA18R,717,0.7326388888888888
05,late_practice,BA19L,761,0.517361111111111
05,late_practice,BA19R,800,0.6458333333333334
05,late_practice,BA20L,360,0.28125
05,late_practice,BA20R,359,0.32986111111111116
05,late_practice,BA37L,308,0.3194444444444445
05,late_practice,BA37R,302,0.3506944444444444
05,late_practice,BA38L,304,0.3020833333333333
05,late_practice,BA38R,302,0.25
07,early_practice,BA17L,157,0.4895833333333333
07,early_practice,BA17R,151,0.4444444444444444
07,early_practice,BA18L,724,0.5243055555555557
07,early_practice,BA18R,717,0.46527777777777773
07,early_practice,BA19L,761,0.46875
07,early_practice,BA19R,800,0.4756944444444445
07,early_practice,BA20L,360,0.2569444444444444
07,early_practice,BA20R,359,0.31597222222222215
07,early_practice,BA37L,308,0.35763888888888884
07,early_practice,BA37R,302,0.36111111111111116
07,early_practice,BA38L,304,0.27777777777777785
07,early_practice,BA38R,302,0.3020833333333333
07,late_practice,BA17L,157,0.8854166666666666
07,late_practice,BA17R,151,0.8680555555555555
07,late_practice,BA18L,724,0.8645833333333334
07,late_practice,BA18R,717,0.8888888888888888
07,late_practice,BA19L,761,0.59375
07,late_practice,BA19R,800,0.6631944444444443
07,late_practice,BA20L,360,0.24999999999999997
07,late_practice,BA20R,359,0.27777777777777773
07,late_practice,BA37L,308,0.2986111111111111
07,late_practice,BA37R,302,0.3368055555555556
07,late_practice,BA38L,304,0.2569444444444444
07,late_practice,BA38R,302,0.2569444444444445
08,early_practice,BA17L,157,0.4270833333333333
08,early_practice,BA17R,151,0.3819444444444444
08,early_practice,BA18L,724,0.4930555555555555
08,early_practice,BA18R,717,0.4305555555555555
08,early_practice,BA19L,761,0.40625
08,early_practice,BA19R,800,0.4236111111111111
08,early_practice,BA20L,360,0.27777777777777773
08,early_practice,BA20R,359,0.23611111111111108
08,early_practice,BA37L,308,0.2708333333333333
08,early_practice,BA37R,302,0.2673611111111111
08,early_practice,BA38L,304,0.3159722222222222
08,early_practice,BA38R,302,0.3229166666666667
08,late_practice,BA17L,157,0.6180555555555555
08,late_practice,BA17R,151,0.6215277777777778
08,late_practice,BA18L,724,0.7222222222222223
08,late_practice,BA18R,717,0.7256944444444443
08,late_practice,BA19L,761,0.545138888888889
08,late_practice,BA19R,800,0.517361111111111
08,late_practice,BA20L,360,0.3576388888888889
08,late_practice,BA20R,359,0.2534722222222222
08,late_practice,BA37L,308,0.31597222222222227
08,late_practice,BA37R,302,0.29861111111111116
08,late_practice,BA38L,304,0.31597222222222227
08,late_practice,BA38R,302,0.29861111111111116
11,early_practice,BA17L,157,0.4270833333333333
11,early_practice,BA17R,151,0.40277777777777773
11,early_practice,BA18L,724,0.5451388888888888
