subj,stage,region,n_voxels,pval,rval,correct
14,early_practice,BA17L,157,0.00010022143165469878,0.22720682354722296,0.3854166666666667
14,early_practice,BA17R,151,1.5917277022148576e-06,0.27840488400663366,0.3784722222222222
14,early_practice,BA18L,724,5.833888067850423e-06,0.26348145095700237,0.3854166666666667
14,early_practice,BA18R,717,1.5381287760279098e-09,0.3463578869258218,0.4131944444444444
14,early_practice,BA19L,761,2.9023345353166064e-11,0.3788788710032671,0.4097222222222222
14,early_practice,BA19R,800,1.1094759855791628e-12,0.40314918469469907,0.3888888888888889
14,early_practice,BA20L,360,3.078828234500835e-09,0.3402740060248941,0.3576388888888889
14,early_practice,BA20R,359,8.217433196637548e-07,0.2856765780124958,0.2951388888888889
14,early_practice,BA37L,308,0.3933343111415094,0.05048552607992305,0.2847222222222222
14,early_practice,BA37R,302,0.03157716165930586,0.12671366494868636,0.3506944444444444
14,early_practice,BA38L,304,0.0017705154796944427,0.18344798969239015,0.2847222222222222
14,early_practice,BA38R,302,6.592709418880636e-08,0.31170220067111476,0.3680555555555556
14,late_practice,BA17L,157,2.1322437208699993e-25,0.5621826670149358,0.6076388888888888
14,late_practice,BA17R,151,7.750222131963936e-26,0.5664254200982103,0.5868055555555556
14,late_practice,BA18L,724,7.485645998328894e-41,0.6826522372564919,0.7743055555555556
14,late_practice,BA18R,717,9.381769597655081e-38,0.6624325543277647,0.6666666666666666
14,late_practice,BA19L,761,9.623975218669464e-07,0.28395742866638596,0.4722222222222222
14,late_practice,BA19R,800,6.659272379136494e-07,0.2879466365637229,0.4270833333333333
14,late_practice,BA20L,360,0.25127505768302044,0.06781990302378436,0.2777777777777778
14,late_practice,BA20R,359,0.07432619500036186,0.1053239550920633,0.2951388888888889
14,late_practice,BA37L,308,0.8199347092001116,0.01347114162721217,0.2465277777777778
14,late_practice,BA37R,302,0.7524743993995066,0.018663395467489574,0.2361111111111111
14,late_practice,BA38L,304,0.35948033254606593,0.054192773002670024,0.2743055555555556
14,late_practice,BA38R,302,0.048241090865422304,0.1165020781095022,0.3368055555555556
15,early_practice,BA17L,157,7.687999306985104e-17,0.46478781327040736,0.5729166666666666
15,early_practice,BA17R,151,9.477583174841937e-05,0.22797654076810697,0.3784722222222222
15,early_practice,BA18L,724,8.694862445748362e-27,0.575392361971181,0.6875
15,early_practice,BA18R,717,7.728184064007115e-17,0.46475743900027006,0.5486111111111112
15,early_practice,BA19L,761,6.113654496665915e-24,0.5476621724095478,0.5729166666666666
15,early_practice,BA19R,800,6.055285814974344e-11,0.37312377320304757,0.4965277777777778
15,early_practice,BA20L,360,0.3932084812266501,0.05049893723795921,0.3055555555555556
15,early_practice,BA20R,359,0.6201463951782201,0.029327296974503838,0.2604166666666667
15,early_practice,BA37L,308,0.004182205801678338,0.16829414584692376,0.3090277777777778
15,early_practice,BA37R,302,0.01866088497397133,0.13854035568601697,0.28125
15,early_practice,BA38L,304,0.033800311094874295,0.1251185966550475,0.2916666666666667
15,early_practice,BA38R,302,0.7670559887585744,0.017530297864475797,0.2638888888888889
15,late_practice,BA17L,157,3.3208347470173165e-31,0.613786233337781,0.6979166666666666
15,late_practice,BA17R,151,1.8880067283684502e-30,0.607582687592442,0.5868055555555556
15,late_practice,BA18L,724,3.0090390607650297e-34,0.6374796107662458,0.7395833333333334
15,late_practice,BA18R,717,2.3245866876175715e-38,0.6665149072497489,0.6388888888888888
15,late_practice,BA19L,761,3.318812401124955e-28,0.5882858476115106,0.6493055555555556
15,late_practice,BA19R,800,4.99796594054508e-28,0.5867004763105872,0.5659722222222222
15,late_practice,BA20L,360,0.434617158199425,0.04621582207715319,0.2847222222222222
15,late_practice,BA20R,359,0.6864231839670812,0.023889563699510633,0.24305555555555555
15,late_practice,BA37L,308,0.0026853357636617684,0.17625287674700038,0.375
15,late_practice,BA37R,302,1.376229418399377e-05,0.25310316845915304,0.3090277777777778
15,late_practice,BA38L,304,0.01728708178970841,0.14019118583642415,0.2777777777777778
15,late_practice,BA38R,302,0.329247786306452,0.05769256239267562,0.23958333333333334
18,early_practice,BA17L,157,2.562570466135793e-15,0.44364340541726877,0.4930555555555556
18,early_practice,BA17R,151,6.57077210195218e-17,0.4657012955799075,0.5555555555555556
18,early_practice,BA18L,724,1.34010038052248e-22,0.5336493935999416,0.6388888888888888
18,early_practice,BA18R,717,1.7669646458065247e-31,0.6160049651538628,0.6319444444444444
18,early_practice,BA19L,761,1.6702324351920597e-08,0.3248723301861468,0.4479166666666667
18,early_practice,BA19R,800,7.146961282563995e-15,0.43717073881888396,0.5173611111111112
18,early_practice,BA20L,360,1.0691770099689885e-06,0.28280619598468465,0.3645833333333333
18,early_practice,BA20R,359,0.0006143388290633916,0.20064826529865862,0.375
18,early_practice,BA37L,308,0.00811636980591253,0.15571178776948158,0.2847222222222222
18,early_practice,BA37R,302,0.02393300113253407,0.13305237734936537,0.34375
18,early_practice,BA38L,304,0.003505210203026947,0.1715063633852569,0.3263888888888889
18,early_practice,BA38R,302,3.3792761816233026e-05,0.24173963267361953,0.3715277777777778
18,late_practice,BA17L,157,5.178366104371656e-23,0.5380351557582477,0.6041666666666666
18,late_practice,BA17R,151,3.538716061648523e-08,0.31774931584230603,0.5451388888888888
18,late_practice,BA18L,724,2.3852173178322274e-23,0.5415639771502432,0.6180555555555556
18,late_practice,BA18R,717,2.395627185708634e-37,0.6596531052182417,0.6979166666666666
18,late_practice,BA19L,761,9.825782643511417e-09,0.3297968528912608,0.4444444444444444
18,late_practice,BA19R,800,2.5431538930819632e-17,0.4711658261206016,0.4861111111111111
18,late_practice,BA20L,360,0.5934906982815767,0.03158305391684067,0.2916666666666667
18,late_practice,BA20R,359,0.020872463133289644,0.13609265564035086,0.3229166666666667
18,late_practice,BA37L,308,0.22844636657271453,0.07118774156067617,0.2777777777777778
18,late_practice,BA37R,302,0.5758016260356168,0.03310542188835475,0.2708333333333333
18,late_practice,BA38L,304,0.010344527004697427,0.15088098522418542,0.3159722222222222
18,late_practice,BA38R,302,0.20358492245361653,0.07513903292176727,0.3125
19,early_practice,BA17L,157,8.907031704928954e-09,0.33069855178794627,0.5763888888888888
19,early_practice,BA17R,151,4.852601554620284e-08,0.3146973855394565,0.5520833333333334
19,early_practice,BA18L,724,1.1279368607023263e-08,0.32852464302269885,0.5486111111111112
19,early_practice,BA18R,717,1.1618706374392425e-20,0.5121693964007175,0.6354166666666666
19,early_practice,BA19L,761,1.3349308362595995e-06,0.28036021775662767,0.4479166666666667
19,early_practice,BA19R,800,5.993930551121355e-05,0.2341929131090267,0.5208333333333334
19,early_practice,BA20L,360,0.0991973740664072,0.0973464380087398,0.3194444444444444
19,early_practice,BA20R,359,0.024327592483350386,0.13268521992634352,0.3020833333333333
19,early_practice,BA37L,308,0.5586179907135256,0.03460547063095926,0.3055555555555556
19,early_practice,BA37R,302,0.2778472828231243,0.06415725272603012,0.28125
19,early_practice,BA38L,304,0.3204894961558543,-0.058744658053058646,0.2881944444444444
19,early_practice,BA38R,302,0.054927430924209465,0.11323309238706812,0.3055555555555556
19,late_practice,BA17L,157,1.8262551883240261e-25,0.5628360503475209,0.6527777777777778
19,late_practice,BA17R,151,4.124536208003718e-24,0.5494022358173261,0.6215277777777778
19,late_practice,BA18L,724,1.634259388151109e-56,0.7646623751898064,0.7395833333333334
19,late_practice,BA18R,717,1.915272146251584e-72,0.8237159459716203,0.7604166666666666
19,late_practice,BA19L,761,7.181524977054968e-23,0.5365339699021088,0.5868055555555556
19,late_practice,BA19R,800,2.0428572773834558e-51,0.7411376364771891,0.625
19,late_practice,BA20L,360,7.749363485291496e-06,0.26009661579565924,0.3680555555555556
19,late_practice,BA20R,359,3.6374623535017527e-06,0.2690124877801852,0.3854166666666667
19,late_practice,BA37L,308,0.0013483869210353682,0.18801494711371317,0.3784722222222222
19,late_practice,BA37R,302,0.0019562646700655197,0.18174852273139197,0.3298611111111111
