subj,stage,region,n_voxels,pval,rval
20,late_practice,BA17L,157,9.76586399591971e-33,0.6259662289419886
20,late_practice,BA17R,151,3.996875506769588e-23,0.539218678691114
20,late_practice,BA18L,724,1.863775250235831e-36,0.6534655823568617
20,late_practice,BA18R,717,2.8047728175547057e-24,0.5510974015023136
20,late_practice,BA19L,761,2.1758671611457045e-10,0.3628352249861245
20,late_practice,BA19R,800,1.9744957749695364e-06,0.27598934453921076
20,late_practice,BA20L,360,0.404360351148053,0.04932020441226162
20,late_practice,BA20R,359,0.9530629820112447,-0.003483545147631807
20,late_practice,BA37L,308,0.1303717808150358,0.08934322925281404
20,late_practice,BA37R,302,0.200723997649296,0.07561563231225854
20,late_practice,BA38L,304,0.5379967353786268,-0.03643542734860732
20,late_practice,BA38R,302,0.5217545514395868,0.037901526043946324
21,early_practice,BA17L,157,1.1756670982675197e-18,0.48822122720318095
21,early_practice,BA17R,151,0.00037460065414757183,0.20822280914921293
21,early_practice,BA18L,724,1.2496971133981661e-42,0.6935585620296421
21,early_practice,BA18R,717,1.357644477923558e-35,0.6473352082754811
21,early_practice,BA19L,761,1.536049476875163e-10,0.3656724730131446
21,early_practice,BA19R,800,9.129698678563439e-13,0.40453778793243106
21,early_practice,BA20L,360,1.220814141561547e-07,0.30557764806515275
21,early_practice,BA20R,359,3.1001232683735825e-06,0.2708565698110953
21,early_practice,BA37L,308,4.102543121002347e-05,0.2392129249874687
21,early_practice,BA37R,302,0.19928275288436362,0.07585759742180881
21,early_practice,BA38L,304,0.22667315555151715,-0.07145909395800934
21,early_practice,BA38R,302,0.0077806336334083626,0.15653987394926017
21,late_practice,BA17L,157,6.1766442681685925e-59,0.774957738056816
21,late_practice,BA17R,151,8.11913323654581e-14,0.4212606655831945
21,late_practice,BA18L,724,4.486183907696487e-55,0.7582883358387438
21,late_practice,BA18R,717,2.7541707490097644e-65,0.7995681287247162
21,late_practice,BA19L,761,6.971616012786525e-48,0.723174454575475
21,late_practice,BA19R,800,5.613021791121289e-29,0.5950677523605508
21,late_practice,BA20L,360,0.0011009220593211123,0.1913487236711046
21,late_practice,BA20R,359,0.11644273298724077,0.09271000043540659
21,late_practice,BA37L,308,0.7065983827522845,0.022275382722474996
21,late_practice,BA37R,302,0.8093835433729824,-0.01427546517790141
21,late_practice,BA38L,304,0.0031030169013120668,0.1736920744802835
21,late_practice,BA38R,302,0.03339688796104032,0.1254012731428884
23,early_practice,BA17L,157,3.0202157884315536e-24,0.5507728323013529
23,early_practice,BA17R,151,6.454199259591743e-28,0.58570592389924
23,early_practice,BA18L,724,7.94367939446134e-19,0.4903294183153754
23,early_practice,BA18R,717,1.0744989695244914e-18,0.4887063834356365
23,early_practice,BA19L,761,9.141087429431867e-07,0.28451880675715324
23,early_practice,BA19R,800,5.426706580439676e-13,0.40821206422403844
23,early_practice,BA20L,360,0.01805848303243505,0.13925073316502706
23,early_practice,BA20R,359,0.3242013970592675,0.05829651823898527
23,early_practice,BA37L,308,0.05575136576457788,0.1128535226336222
23,early_practice,BA37R,302,0.3539333984713944,0.054820545270194324
23,early_practice,BA38L,304,0.5662459916958918,0.03393690587239631
23,early_practice,BA38R,302,0.39348791701246966,0.050469158018668955
23,late_practice,BA17L,157,1.1864894621393854e-16,0.4622492705842759
23,late_practice,BA17R,151,2.5463786642124096e-15,0.4436829811386932
23,late_practice,BA18L,724,2.6706311697749056e-18,0.483761504022525
23,late_practice,BA18R,717,4.3990529850790426e-26,0.5687732475005474
23,late_practice,BA19L,761,0.00010428595530405291,0.22665750453278888
23,late_practice,BA19R,800,6.215964717149417e-11,0.3729167214164
23,late_practice,BA20L,360,0.29569804375241016,0.06182857660789459
23,late_practice,BA20R,359,0.048355141094170176,0.11644323650945462
23,late_practice,BA37L,308,0.10333290738289864,0.09617984984476528
23,late_practice,BA37R,302,0.8503381915456409,0.011166701286014588
23,late_practice,BA38L,304,0.48919787448232416,-0.04091290975473862
23,late_practice,BA38R,302,0.721771482873548,0.021072249285081918
26,early_practice,BA17L,157,0.001371253830675546,0.1877359647290142
26,early_practice,BA17R,151,2.137364708208722e-08,0.32255300494937145
26,early_practice,BA18L,724,2.6356223518116217e-10,0.3612613491538574
26,early_practice,BA18R,717,1.081752323362734e-15,0.4489813545938266
26,early_practice,BA19L,761,0.0008542945694872364,0.1954434691702301
26,early_practice,BA19R,800,1.5781853401868822e-07,0.3029835459857266
26,early_practice,BA20L,360,0.001036386781420639,0.19233144804407767
26,early_practice,BA20R,359,0.017043191769516196,0.1404961437796879
26,early_practice,BA37L,308,0.14023067156619468,0.08712479415499584
26,early_practice,BA37R,302,0.4409109243372163,0.0455859726883773
26,early_practice,BA38L,304,0.2603849841423709,0.066535488789091
26,early_practice,BA38R,302,0.6791513955581417,0.024475667108032784
26,late_practice,BA17L,157,1.7314318703297737e-08,0.3245351044545627
26,late_practice,BA17R,151,1.9188605038470266e-19,0.49784914899626526
26,late_practice,BA18L,724,7.33452903771004e-13,0.40608969755951774
26,late_practice,BA18R,717,5.619957550498981e-19,0.492178275368792
26,late_practice,BA19L,761,0.0008295995754871189,0.19591181871400304
26,late_practice,BA19R,800,1.3222006946239227e-17,0.47487535736854325
26,late_practice,BA20L,360,0.5253650523266737,-0.03757364788407849
26,late_practice,BA20R,359,0.05239243641980514,0.11443131966614231
26,late_practice,BA37L,308,0.4704216470541831,0.04269836316186515
26,late_practice,BA37R,302,9.11940853142054e-08,0.30849458049289513
26,late_practice,BA38L,304,0.870959217954435,0.00961346794724581
26,late_practice,BA38R,302,0.0001075116178861189,0.2262356801885222
27,early_practice,BA17L,157,3.099799228040345e-38,0.6656780907020698
27,early_practice,BA17R,151,7.042654117493932e-31,0.6111195107975003
27,early_practice,BA18L,724,4.584162973126019e-30,0.6043627556576341
27,early_practice,BA18R,717,1.2864176442830611e-34,0.6402186387109622
27,early_practice,BA19L,761,1.9041322945879493e-14,0.43085529479606116
27,early_practice,BA19R,800,9.425122726968612e-16,0.4498255931661983
27,early_practice,BA20L,360,0.8307012925971808,-0.012652939612935454
27,early_practice,BA20R,359,0.10528010090415978,0.09564332316726448
27,early_practice,BA37L,308,0.35034752731871627,0.05522967040065438
27,early_practice,BA37R,302,0.002628610102692915,0.17662820245920346
27,early_practice,BA38L,304,0.7033470911350476,0.02253436942266543
27,early_practice,BA38R,302,0.13060016511668343,0.08929040100792839
27,late_practice,BA17L,157,3.8889117246256286e-76,0.8348873596978437
27,late_practice,BA17R,151,5.324354376144104e-52,0.7439700854336662
27,late_practice,BA18L,724,3.3510734551139754e-141,0.9453269107467415
27,late_practice,BA18R,717,2.1124034561835867e-135,0.9398069078613319
27,late_practice,BA19L,761,3.199113589061459e-38,0.6655862277739668
27,late_practice,BA19R,800,2.7905243213242988e-30,0.606169016453056
27,late_practice,BA20L,360,0.1666218008812672,0.0817213557976133
27,late_practice,BA20R,359,0.21497271907774584,0.07328855801949608
27,late_practice,BA37L,308,0.1319313097886478,0.08898390030003746
27,late_practice,BA37R,302,0.0007704125819836603,0.1970889281205279
27,late_practice,BA38L,304,0.19474290580786072,0.07662819409253821
27,late_practice,BA38R,302,0.002285718254876266,0.1790675736782423
28,early_practice,BA17L,157,4.0828550677147605e-18,0.48142842759111376
28,early_practice,BA17R,151,1.714908963099664e-16,0.46007760526792835
28,early_practice,BA18L,724,1.2565085904204068e-44,0.7052611252000186
28,early_practice,BA18R,717,2.8318929140485825e-48,0.7252363434528778
28,early_practice,BA19L,761,4.395769492486562e-13,0.40968748521911436
28,early_practice,BA19R,800,5.141270259358909e-30,0.6039437594819359
28,early_practice,BA20L,360,0.15903436587096206,0.08320433653498008
28,early_practice,BA20R,359,0.7171144661531197,-0.02144057822348727
28,early_practice,BA37L,308,0.10932090880818125,0.09455443896959984
28,early_practice,BA37R,302,0.011886795799402732,0.14805262905957858
28,early_practice,BA38L,304,0.89592360963097,0.007741755493312911
28,early_practice,BA38R,302,0.9589211691110333,-0.0030483554976087554
28,late_practice,BA17L,157,8.45304899817537e-47,0.717364323603594
28,late_practice,BA17R,151,7.126907943930444e-21,0.5145976101595053
28,late_practice,BA18L,724,4.113324268516632e-27,0.5783984711504887
28,late_practice,BA18R,717,9.275996491375827e-65,0.7976461168450415
28,late_practice,BA19L,761,2.5452410802445533e-07,0.29808628189583386
28,late_practice,BA19R,800,2.5988536673617294e-22,0.5305561923311826
28,late_practice,BA20L,360,0.5712855941529538,0.03349756375954052
28,late_practice,BA20R,359,0.2768888063362367,-0.06428510618288323
28,late_practice,BA37L,308,0.3733987280091309,-0.05264368910905107
28,late_practice,BA37R,302,0.0605630730177712,0.11072523357882441
28,late_practice,BA38L,304,0.9199667644895156,-0.005946389009697638
28,late_practice,BA38R,302,0.9504352145192431,-0.0036788147272805508
29,early_practice,BA17L,157,5.1497681338654306e-23,0.5380605127967696
29,early_practice,BA17R,151,1.4849310226244336e-24,0.5538720332618655
29,early_practice,BA18L,724,2.76674747147998e-32,0.6224247805506646
29,early_practice,BA18R,717,2.592089821849483e-29,0.5979670109170422
29,early_practice,BA19L,761,2.8401041959033584e-20,0.5076778366161168
29,early_practice,BA19R,800,3.8846224226354774e-17,0.4687391766715576
29,early_practice,BA20L,360,7.814862411170803e-07,0.28622073338593623
29,early_practice,BA20R,359,0.003842553138809988,0.16984171869282672
29,early_practice,BA37L,308,0.008067195867737294,0.15583114474357562
